time,ax,ay,az,yaw,distance
6.02,0.39,0.57541,8.4424,269.6891,4.734775655536757
6.063,0.1434,1.00078,8.7896,269.3902,4.750634219267619
6.106,0.165,0.748,9.9304,269.1133,4.768495172797758
6.149,0.6462,0.60181,11.0784,268.8668,4.788472324890286
6.192,-0.2696,1.61568,11.9942,268.6557,4.810707380333168
6.235,0.1973,1.38534,9.5641,268.4698,4.835342343273024
6.278,-0.0014,0.55704,8.525,268.317,4.8623557614485
6.321,-0.0433,0.99022,9.1583,268.2019,4.89178368549162
6.364,0.0345,0.4543,8.8051,268.1232,4.9235872143309924
6.407,0.1267,-0.0066,8.8865,268.0809,4.957674846949393
6.45,0.3194,-1.38138,9.9352,268.0521,4.993790649667208
6.493,0.5445,-2.20297,11.9727,268.043,5.0316177966299565
6.536,-0.0768,-2.94437,10.4727,268.0479,5.070693114025545
6.579,-0.5186,-1.62888,10.2165,268.0736,5.110735778933657
6.622,-0.1079,-0.6149,11.6518,268.1128,5.151688569584793
6.665,0.5912,-2.13719,8.8925,268.165,5.193372563461678
6.708,0.001,-0.88495,8.9787,268.2297,5.235731919584825
6.751,0.153,-1.02311,10.0214,268.3059,5.2787162606505404
6.794,0.2883,-1.05083,9.8418,268.3931,5.322294098252128
6.837,0.7623,-0.78617,9.1762,268.4826,5.366535296970926
6.88,0.5481,-0.75845,8.3239,268.5773,5.411480277783483
6.923,0.4391,0.40557,9.3127,268.6856,5.457313208025858
6.966,0.4044,-0.05401,10.7349,268.797,5.50413036694593
7.009,-0.2193,0.28182,10.9731,268.9125,5.551982987514702
7.052,-0.2265,-1.36026,9.8622,269.0293,5.600688609994243
7.095,-0.6395,-1.80004,8.197,269.1582,5.649969377498269
7.138,-0.2935,-1.5367,10.2608,269.309,5.699656810437073
7.181,-0.5652,-1.27732,11.2412,269.478,5.749599392192252
7.224,0.1027,-0.74921,10.0932,269.652,5.799820012147681
7.267,0.2464,0.45298,8.3455,269.8318,5.850520747561904
7.31,0.4296,-0.02112,7.5278,270.016,5.9018422097238625
7.353,0.5133,1.30493,10.3901,270.2091,5.954099861218368
7.396,0.6295,0.71236,11.0353,270.3863,6.007511422398011
7.439,-0.5808,-1.67233,10.0034,270.5534,6.061791085667499
7.482,-0.4515,-1.09824,10.195,270.7387,6.116776084564865
7.525,-0.2552,-1.24047,11.2712,270.9293,6.172327232285967
7.568,-0.3162,-1.54198,8.3897,271.1174,6.228271289911384
7.611,-0.9663,2.10826,9.5713,271.3188,6.284849527924888
7.654,-0.0074,0.19096,9.7353,271.5309,6.34215074852956
7.697,0.5265,1.42219,8.9871,271.7589,6.400489258386172
7.74,-0.4467,2.96153,10.1052,271.9956,6.460218491790432
7.783,-0.3186,2.32815,9.606,272.2269,6.5215882482689755
7.826,-0.5018,2.04897,8.6735,272.4701,6.58476120100522
7.869,-0.4,1.28392,9.2193,272.7239,6.649797338276874
7.912,0.1195,0.66099,9.4097,272.9826,6.716740621338737
7.955,-0.6742,1.3695,10.1567,273.2301,6.785618231751232
7.998,-1.1135,0.67419,10.4907,273.4731,6.856305861655352
8.041,-0.1295,-0.3608,10.3781,273.7143,6.928691227855431
8.084,-0.102,-0.17776,11.252,273.9454,7.00270321123179
8.127,-0.3019,-0.57013,10.4643,274.1673,7.078200742175785
8.17,-1.1015,0.53856,10.0812,274.3685,7.155097415708238
8.213,-0.3354,0.27654,9.8311,274.5532,7.233386922591749
8.256,-0.4168,-0.37004,8.8925,274.723,7.312968905535449
8.299,-0.169,0.49643,9.0745,274.8596,7.393903404116897
8.342,0.2979,-0.92576,8.9416,274.9913,7.476118877377618
8.385,-0.0816,0.28182,9.6275,275.0869,7.559661919739241
8.428,-0.2277,-0.09218,10.2069,275.1629,7.644506429448168
8.471,0.329,0.25146,9.7054,275.2238,7.730750282370512
8.514,-0.1451,0.06193,9.7185,275.2759,7.818394239428606
8.557,-0.491,-1.14433,10.0812,275.3305,7.907230985108384
8.6,-0.0804,-1.40107,10.584,275.3837,7.9970925200685326
8.643,-0.3174,-1.89486,9.5904,275.4448,8.087727680322551
8.686,-0.9088,0.46354,11.7177,275.5002,8.179155102443666
8.729,-0.1917,-0.48719,9.9029,275.5615,8.27135700605248
8.772,0.2069,-0.11198,9.4312,275.6234,8.36442094936326
8.815,-0.3306,1.48005,10.6882,275.6715,8.458577562885678
8.858,-0.6766,0.22913,8.3095,275.7162,8.553820399359047
8.901,0.0872,2.34256,9.8897,275.7415,8.650538739492879
8.944,0.4667,0.47795,10.0645,275.7614,8.748874970200816
8.987,0.4116,0.35156,9.8777,275.7551,8.848933108249854
9.03,0.1411,-0.11979,8.8434,275.7269,8.950706618060797
9.073,-0.3162,-0.10274,10.0202,275.6694,9.05413483749028
9.116,-0.2708,-0.40161,10.3302,275.604,9.159127388027128
9.159,-0.3138,-1.05743,11.6147,275.5181,9.265504269083289
9.202,-0.4276,-0.26862,11.1263,275.411,9.373201593270942
9.245,-0.0972,-1.08768,10.013,275.2866,9.482085507305658
9.288,0.3505,-0.05005,9.1307,275.1504,9.592238479909218
9.331,0.3745,-0.47146,9.4683,274.9961,9.703676114462422
9.374,0.2464,0.74008,11.1443,274.8241,9.816571933626697
9.417,-0.0517,0.02893,10.2692,274.6444,9.93094395591603
9.46,0.3996,-0.88748,7.4536,274.4649,10.04672864875783
9.503,0.8845,1.56706,8.1671,274.2852,10.164285148140184
9.546,0.487,-0.76769,8.4711,274.0994,10.28354659150425
9.589,0.8378,-0.15675,8.8219,273.9253,10.404582229968522
9.632,0.1279,0.23309,10.4404,273.7686,10.527427561483217
9.675,-0.0241,-0.15807,10.8103,273.6259,10.652039268414264
9.718,0.5289,0.11715,9.8562,273.5116,10.778483750089652
9.761,0.3996,-0.22121,9.4647,273.4157,10.906754589045516
9.804,0.9563,-1.4696,9.0817,273.3254,11.036720892557165
9.847,0.6462,-2.5256,7.8295,273.2547,11.168065812467475
9.89,0.5768,-0.79662,11.1155,273.1894,11.300753042608395
9.933,-0.0565,-0.80322,12.9627,273.1319,11.434675967189646
9.976,-0.7077,-2.24125,10.2333,273.0571,11.569446566173244
10.019,0.5828,-0.00264,9.2804,272.9953,11.705200236612207
10.062,0.8701,-1.90542,8.9823,272.9127,11.841799301762778
10.105,0.833,-0.65714,10.0681,272.8092,11.979303712885745
10.148,0.7947,-0.72424,10.3829,272.6719,12.11775150047143
10.191,0.9108,-0.35156,10.511,272.5009,12.257245734397982
10.234,0.7815,0.29887,9.9101,272.297,12.39796460261735
10.277,1.1598,0.55572,9.3618,272.087,12.54014944972744
10.32,1.4267,0.05929,8.7453,271.8249,12.683969145204156
10.363,0.9838,-0.21593,9.3019,271.5121,12.829483965176697
10.406,0.9706,-0.04741,10.3554,271.1647,12.976772221763163
10.449,0.7276,-0.38456,9.6156,270.8011,13.125825363435506
10.492,0.7528,-0.46222,9.6,270.4009,13.276625813232487
10.535,0.5959,-0.66231,10.359,269.9629,13.429109279646907
10.578,1.5812,-4.47326,8.3945,269.4884,13.582725107092385
10.621,0.4331,-0.96525,9.7293,268.9913,13.737401731383343
10.664,0.4667,-0.32659,13.3398,268.4805,13.893178582712162
10.707,-0.8813,-2.63758,12.5329,267.8898,14.049586795415665
10.75,0.0106,0.54252,10.9898,267.3125,14.20679834396024
10.793,1.4926,-2.03049,9.8275,266.6464,14.364719038560574
10.836,1.1897,-1.03895,10.2321,265.9899,14.523387073858053
10.879,0.8833,0.2002,10.9839,265.3165,14.682999786705228
10.922,1.155,-0.88616,10.6858,264.5886,14.843591833122067
10.965,1.4148,-0.55572,9.7915,263.8398,15.00527318578742
11.008,0.888,-1.93963,9.4899,263.0695,15.167869127373894
11.051,0.4343,-0.02497,10.3434,262.3373,15.331477938411005
11.094,0.5816,-2.57169,8.9991,261.5347,15.495800802350114
11.137,0.3194,-0.35552,8.6483,260.7954,15.660892306911125
11.18,0.0549,-2.04897,8.0953,260.0181,15.826506526132336
11.223,-0.1594,-1.49853,7.2657,259.2898,15.992487363533648
11.266,0.2667,-1.83304,8.2449,258.5807,16.158685517827575
11.309,-0.181,1.57883,9.9196,257.9619,16.325461443912566
11.352,0.7157,-3.17218,9.0877,257.2756,16.4924792266471
11.395,1.2939,-1.79476,8.786,256.6412,16.65971432186027
11.438,0.4846,-1.58015,11.3873,256.0347,16.82709546890602
11.481,0.9455,-2.36236,12.6359,255.4433,16.994482192997044
11.524,0.8785,-0.8954,13.1686,254.8933,17.161974107887698
11.567,0.5361,-1.92918,10.4416,254.3329,17.329462111727455
11.61,0.3912,-1.3563,8.5825,253.8012,17.496924358179815
