time,ax,ay,az,yaw ,acc,velo,dist
1.29,-0.0212,1.14471,9.8337,203.5956,1.94635418125544,48.0312748471206,651.387862054364
1.333,-0.1433,1.560825,9.4829,202.6539,1.86924834500435,49.7048693718715,701.092731426236
1.376,-0.0212,1.58592,9.368,201.8186,1.81258267600348,51.3217982276215,752.414529653857
1.419,0.8731,1.968015,10.2682,201.0771,1.84366914080278,52.9698135481708,805.384343202028
1.462,0.2362,1.795815,9.6014,200.4215,1.83409831264223,54.6082580405595,859.992601242588
1.505,0.1416,1.48911,9.2627,199.8372,1.76510065011378,56.1777048704198,916.170306113008
1.548,0.6732,1.533105,9.52,199.3259,1.71870152009103,57.7007525702574,973.871058683265
1.591,0.8994,2.244585,9.4614,198.8844,1.82387821607282,59.3289769660767,1033.20003564934
1.634,1.2992,1.391145,9.9594,198.5081,1.73733157285826,60.8706547186815,1094.07069036802
1.677,0.9365,0.05754,10.8895,198.1937,1.40137325828661,62.0763741567146,1156.14706452474
1.72,0.1764,1.75812,11.3935,197.9259,1.47272260662928,63.3534429430904,1219.50050746783
1.763,0.2637,1.44144,9.5643,197.7011,1.46646608530343,64.6242552081404,1284.12476267597
1.806,0.065,1.813455,9.2411,197.5018,1.53586386824274,65.9644652561297,1350.0892279321
1.849,0.0064,1.84107,10.3089,197.3201,1.59690509459419,67.3657165304704,1417.45494446257
1.892,0.2278,1.0794,10.4334,197.1409,1.49340407567536,68.6634667858923,1486.11841124846
1.935,0.2997,-0.699195,10.0755,196.9631,1.05488426054028,69.5226972261791,1555.64110847464
1.978,0.6492,-1.572795,10.6752,196.7502,0.529348408432227,69.8563918143579,1625.497500289
2.021,1.1951,-2.04288,9.5009,196.5093,0.014902726745782,69.6756407208502,1695.17314100985
2.064,1.334,-1.385475,8.4654,196.2604,-0.265172818603375,69.2148140819933,1764.38795509184
2.107,1.1927,-1.124025,8.2583,195.9752,-0.4369432548827,68.5822170068572,1832.9701720987
2.15,0.8767,-0.64764,8.7407,195.6814,-0.47908260390616,67.9074805826975,1900.8776526814
2.193,1.1197,-0.46914,10.5867,195.3744,-0.477094083124928,67.2347326793191,1968.11238536072
2.236,0.7713,0.085155,11.1421,195.0688,-0.364644266499942,66.6744345925657,2034.78681995328
2.279,0.4062,-0.006615,9.8528,194.7583,-0.293038413199954,66.1857423591123,2100.97256231239
2.322,0.2781,-0.857535,10.1844,194.4675,-0.405937730559963,65.5841508082989,2166.55671312069
2.365,0.4421,-0.05187,10.759,194.1838,-0.335124184447971,65.0533728035974,2231.61008592429
2.408,-0.1756,-0.39879,9.1609,193.9258,-0.347857347558376,64.5098616357856,2296.11994756008
2.451,-0.4282,-1.067535,10.3329,193.6975,-0.491792878046701,63.8224149374854,2359.94236249756
