time,ax,ay,az,yaw,distance
10.363,0.7389,-0.06688,9.1767,192.4092,48.808594559986645
10.406,0.6934,-1.8616,13.5689,192.3937,49.15660011275387
10.449,-0.5708,-0.78128,13.0829,192.3683,49.50553567268737
10.492,-0.2655,0.026,9.4042,192.3423,49.85545892758737
10.535,0.5737,1.16856,4.1597,192.3258,50.20663088288182
10.578,0.6886,-2.1096,9.5825,192.3622,50.558666435731176
10.621,-0.3146,1.79392,10.7449,192.3411,50.91196419250994
10.664,0.1379,-1.59056,11.1077,192.3784,51.266240057573405
10.707,-0.1422,0.44264,8.6835,192.3979,51.6216245287977
10.75,-0.0057,0.31808,7.9377,192.4208,51.97821042368804
10.793,-0.1362,0.06144,11.4273,192.4529,52.33603378654213
10.836,0.0374,-0.8464,11.5039,192.4872,52.69495420606642
10.879,-0.2164,-0.76216,12.2856,192.5166,53.05486314577846
10.922,0.1978,0.99136,7.6133,192.5157,53.41599091534639
10.965,0.1631,-1.1692,12.0761,192.5293,53.778136972815076
11.008,-0.384,-0.10232,12.1336,192.5313,54.141326487681724
11.051,-0.0524,-0.53904,9.3503,192.5308,54.5054970578965
11.094,0.5402,2.08216,5.8356,192.5193,54.87108314662682
11.137,0.0218,-3.2004,11.4859,192.4983,55.237481902190545
11.18,-0.1673,1.54296,9.8076,192.4673,55.60504810971294
11.223,-0.0273,0.23864,6.4449,192.4333,55.97385363712259
11.266,0.2888,-1.68536,9.828,192.4116,56.34359737891692
11.309,0.199,1.49704,9.0247,192.3717,56.714610139194185
11.352,1.1638,0.38416,7.9521,192.324,57.08697230787126
11.395,0.4899,-1.49192,13.8131,192.2938,57.46040690863085
11.438,-0.7587,0.11224,14.5146,192.2538,57.83497687023596
11.481,-0.3828,-0.81576,10.794,192.2168,58.210560702982356
11.524,-0.0524,0.83432,6.0894,192.1625,58.587358298464224
11.567,0.2959,-0.1224,7.6492,192.1138,58.965366289352175
11.61,-0.214,-0.48728,11.6847,192.0633,59.344516440889095
11.653,-0.0859,-0.11096,9.7837,191.9991,59.72481747398236
11.696,-0.141,-0.6932,11.5769,191.9322,60.1061676413701
11.739,-0.1697,-0.5476,10.9449,191.8582,60.48850306763384
11.782,0.3905,-0.41832,8.7123,191.7847,60.87178663156867
11.825,0.8622,1.14552,6.2187,191.7021,61.256276950239325
11.868,0.4276,-2.12304,10.1883,191.6284,61.641592514196404
11.911,0.4109,1.83504,9.3958,191.5491,62.02813777288428
11.954,0.6886,-1.62696,8.4417,191.4834,62.415620782564496
11.997,0.2133,0.79024,10.1069,191.4068,62.804238825158464
12.04,-0.0105,-1.10976,10.9987,191.3448,63.193812143311625
12.083,-0.6127,-0.71904,14.833,191.2917,63.58425704579844
12.126,-0.7599,0.34688,10.642,191.2401,63.975700576483476
12.169,-0.0069,-0.05152,7.083,191.195,64.36817642670074
12.212,-0.615,-0.7468,9.895,191.1619,64.76158789707677
12.255,-0.2416,1.80632,8.1113,191.1366,65.15632758135924
12.298,0.2828,-1.4996,9.415,191.1173,65.55212059836802
12.341,-0.3265,-0.132,11.9624,191.1054,65.9489822271528
12.384,-0.299,-1.4756,11.4069,191.0917,66.34667221472003
12.427,-0.1242,-0.00656,10.1823,191.0837,66.74525060680368
12.47,0.4001,-0.98624,8.6129,191.0704,67.1445826757195
12.513,0.618,-0.05056,9.7334,191.06,67.54472238418036
12.556,0.6299,-0.40592,9.5562,191.0437,67.94565108885386
12.599,0.5437,0.0088,9.4928,191.021,68.34743096303495
12.642,0.2026,-1.11456,10.0997,191.0036,68.74990817317345
12.685,0.782,1.9356,8.3687,190.9844,69.15351634423394
12.728,0.3738,-3.27224,11.7361,190.9683,69.55766485392505
12.771,0.375,1.74792,8.911,190.9539,69.96277045524076
12.814,0.4899,-1.2324,7.0363,190.9492,70.36864441896672
12.857,0.0386,-0.08792,12.1264,190.9368,70.77533628643295
12.9,-0.3732,-0.76984,13.7353,190.9304,71.18276475210307
12.943,0.4959,0.1256,9.0474,190.919,71.59101962461585
12.986,0.3115,-1.1912,9.3743,190.9211,71.9999342929729
13.029,0.1224,1.40696,7.7354,190.9157,72.40985094873727
13.072,0.0362,-0.9144,9.7082,190.9149,72.82063966565504
13.115,0.2576,0.68488,9.4904,190.8936,73.23248404642555
13.158,0.4336,-0.7708,8.0862,190.8772,73.64527310197651
13.201,0.5677,1.05264,8.2143,190.8303,74.0592504421824
13.244,0.3438,-1.286,10.5103,190.8033,74.47419513127325
13.287,0.1966,-0.01424,11.5386,190.7608,74.89014961169329
13.33,0.1188,-0.4796,10.879,190.721,75.30706472682682
13.373,0.867,1.56696,7.4792,190.6755,75.72527752630867
13.416,0.5856,-2.05792,13.5545,190.6458,76.144408607313
13.459,-0.961,-0.3092,15.9188,190.6054,76.56445781883392
13.502,-0.3481,0.06432,9.2545,190.569,76.98549122841129
13.545,0.0458,-0.38096,7.3655,190.547,77.40748138578199
13.588,0.0589,0.592,6.6796,190.5236,77.83058728728504
13.631,0.1104,-0.43272,8.996,190.5149,78.25475809183693
13.674,0.503,0.67056,9.3012,190.5077,78.68015367415789
13.717,0.0326,-2.01768,10.6575,190.5282,79.10641343833454
13.76,0.0062,0.56616,9.7513,190.5406,79.53370112994764
13.803,0.2852,-1.4316,7.2219,190.5738,79.96178476067311
13.846,0.6994,1.59664,9.0929,190.6007,80.39102465240127
13.889,0.096,-2.13352,10.7892,190.6402,80.82104472960694
13.932,0.515,1.9404,9.4628,190.671,81.2522731340503
13.975,-0.0859,-2.65456,12.7956,190.7127,81.68423144548798
14.018,0.3714,1.42136,12.5202,190.731,82.1172558023817
14.061,-0.0596,-1.90176,11.0023,190.7701,82.5510240320807
14.104,0.8071,3.0236,6.1349,190.7995,82.9861704620003
14.147,0.5222,-1.76008,5.9458,190.8199,83.4223643522772
14.19,-0.0404,0.1524,14.5721,190.8439,83.85967329286993
14.233,-0.6581,-2.18432,12.713,190.8691,84.29772106694749
14.276,0.6072,1.83032,7.3727,190.8884,84.73691850779348
14.319,1.0322,-1.30232,5.6477,190.9075,85.17704059710807
14.362,0.6455,-0.33504,11.6739,190.9109,85.61807028020779
14.405,0.0924,-0.562,11.6188,190.9103,86.05995324617908
