time,ax,ay,az,yaw
8.901,-0.0946,1.8278,10.3426,187.3153
8.944,0.0478,2.1546,8.0873,187.3226
8.987,-0.1521,-0.6047,10.6395,187.3248
9.03,-0.115,0.7995,10.6802,187.3276
9.073,-0.3221,0.9611,9.6627,187.3347
9.116,0.0023,1.8385,6.7705,187.3473
9.159,0.5889,0.4703,7.478,187.3583
9.202,0.1184,0.3458,10.1822,187.3723
9.245,0.3603,0.5373,11.2093,187.3913
9.288,0.2501,1.1837,10.3031,187.4161
9.331,-0.3077,-0.7568,11.4284,187.4599
9.374,-0.0563,1.6039,9.7896,187.508
9.417,-0.2742,0.8294,10.2158,187.5733
9.46,0.207,1.2891,9.5071,187.6573
9.503,-0.285,-0.345,9.9703,187.7594
9.546,0.0718,2.0049,9.6028,187.8645
9.589,0.2968,0.9072,8.5171,187.9821
9.632,0.0143,0.8258,9.2904,188.1101
9.675,-0.0264,-0.6047,10.3666,188.2486
9.718,0.0933,0.9539,10.6527,188.3859
9.761,0.061,1.3465,9.1791,188.5307
9.804,-0.1066,-0.0182,11.3781,188.685
9.847,0.1759,-0.0505,12.4843,188.8406
9.89,-0.4478,2.2312,10.3379,188.9933
9.933,-0.7938,0.9563,9.6016,189.1434
9.976,0.0203,0.2464,10.3762,189.2899
10.019,0.14,2.2288,8.5626,189.4299
10.062,0.1172,-0.2193,9.6783,189.5512
10.105,-0.1497,1.6566,7.4756,189.66
10.148,0.0203,0.1171,8.1675,189.7505
10.191,0.2465,0.9012,9.0019,189.8211
10.234,-0.4083,-0.8741,10.7461,189.8699
10.277,0.0167,2.0337,10.5581,189.9001
10.32,-0.2718,0.7851,10.2313,189.9188
10.363,0.0897,0.347,11.2273,189.9153
10.406,-0.382,0.5421,11.8235,189.894
10.449,-0.4179,1.8242,9.8698,189.8602
10.492,0.0634,1.2783,7.2098,189.8202
10.535,0.3279,1.1598,7.9377,189.7655
10.578,0.0813,0.42,9.9332,189.6935
10.621,0.3375,1.2256,9.6902,189.6068
10.664,-0.2946,1.8876,8.8558,189.519
10.707,-0.5268,-0.102,10.8239,189.4239
10.75,0.2693,1.2879,10.6024,189.3213
10.793,-0.103,1.8361,9.3371,189.2125
10.836,0.0442,1.1634,8.9827,189.1007
10.879,-0.1485,-0.3988,9.8686,188.9926
10.922,0.2058,2.0648,8.4201,188.8912
10.965,0.1352,1.0125,8.9959,188.7946
11.008,-0.0372,0.4846,10.1487,188.7042
11.051,0.4848,1.3477,9.2712,188.6186
11.094,-0.2132,-0.2025,12.7584,188.547
11.137,-0.2263,1.3334,12.5082,188.4878
11.18,-0.5472,1.8242,9.6076,188.4421
11.223,0.6763,1.9882,9.0917,188.4065
11.266,0.1484,-0.5365,10.4121,188.3788
11.309,0.1352,1.7464,8.9384,188.3569
11.352,0.3974,2.1594,8.3974,188.3433
11.395,0.1316,-0.017,9.9524,188.3412
11.438,0.6823,1.0042,9.4269,188.3379
11.481,0.2896,1.1059,8.8762,188.335
11.524,0.1113,0.2572,9.3347,188.3386
11.567,0.2681,0.6905,8.4249,188.3399
11.61,0.6619,3.3529,7.8718,188.3372
11.653,-0.4167,-2.1598,10.0075,188.3415
11.696,0.9265,2.4886,10.7353,188.3368
11.739,-0.4957,0.6606,11.2764,188.349
11.782,-0.7112,0.6498,12.1874,188.3638
11.825,0.0897,1.0257,10.9029,188.3835
11.868,0.1879,4.9977,6.4197,188.4033
11.911,1.0857,-1.7935,9.9488,188.4301
11.954,0.1244,0.9647,12.1586,188.458
11.997,0.7014,2.6598,9.5597,188.4772
12.04,0.3315,1.7332,8.2753,188.4977
12.083,0.4381,-0.6742,11.0394,188.5329
12.126,0.2214,2.2659,8.6452,188.5357
12.169,0.055,0.7851,7.9496,188.548
12.212,0.2429,1.5225,8.359,188.5492
12.255,0.5542,1.0927,9.6256,188.5435
12.298,0.4429,0.3134,12.2149,188.5261
12.341,-0.3664,0.3769,13.7304,188.4889
12.384,-0.7842,3.1565,9.865,188.4246
12.427,-0.2958,0.414,8.7948,188.3586
12.47,-0.0911,0.6055,9.2186,188.2705
12.513,0.4452,1.4471,8.7685,188.1591
12.556,0.7062,3.3409,7.2781,188.0278
12.599,0.5278,-0.7699,9.3658,187.9037
12.642,0.0454,-1.8042,12.7787,187.7717
12.685,-0.2132,2.7423,9.4053,187.6056
12.728,0.1292,0.6654,8.7481,187.4438
12.771,-0.4382,-1.7348,12.0437,187.2993
12.814,0.043,1.7619,11.5852,187.1402
12.857,-0.0539,3.5552,9.0869,186.984
12.9,-0.3999,0.2883,10.0122,186.8346
12.943,-0.0504,-0.4371,10.0865,186.6882
12.986,0.1579,2.3329,8.5793,186.5326
13.029,-0.176,3.0871,6.1396,186.3797
13.072,0.7685,-0.7556,10.3522,186.2336
13.115,-0.024,-0.8083,11.8953,186.0835
13.158,-0.352,4.4889,8.1819,185.9277
13.201,-0.1868,-1.1171,11.4823,185.7797
13.244,-0.5711,0.4942,10.9999,185.6261
13.287,-0.0144,3.3373,9.2377,185.4748
13.33,-0.6226,-0.57,10.7832,185.3314
13.373,-0.2874,1.501,9.938,185.1945
13.416,0.371,2.9447,8.2501,185.0686
13.459,0.067,0.5074,8.0909,184.9581
13.502,-0.0073,0.0537,9.1683,184.8704
13.545,0.6871,1.5871,9.4819,184.7965
13.588,0.2705,1.2867,9.0115,184.7437
13.631,0.2226,-0.011,11.0298,184.7197
13.674,0.4656,-0.3665,12.58,184.7199
13.717,-0.0779,2.0959,10.8825,184.721
13.76,-0.8943,1.3729,10.8909,184.7534
13.803,0.5015,1.3537,9.057,184.8086
13.846,0.5075,-0.0074,8.8463,184.8836
13.889,0.2992,1.1825,9.1192,184.9696
13.932,0.4536,2.7471,7.4193,185.0592
13.975,1.0641,1.2663,9.4484,185.1567
14.018,0.1472,-1.1159,11.8917,185.2751
14.061,-0.3939,0.8761,10.047,185.3808
14.104,0.3112,2.6657,5.9744,185.4839
14.147,0.62,0.5325,7.3343,185.5911
14.19,0.3555,-0.6155,13.2289,185.7041
14.233,0.1113,1.0856,12.6339,185.789
14.276,-0.601,2.1211,8.8678,185.8514
14.319,-0.273,1.4339,9.8602,185.9153
14.362,-0.0049,0.9371,8.4776,185.9687
14.405,0.79,0.6091,8.0442,186.009
14.448,0.529,1.0257,8.3686,186.0283
14.491,1.1851,-0.0421,10.8059,186.0493
14.534,0.2214,0.9359,11.0693,186.04
14.577,-0.6357,-0.6993,12.7153,186.0279
14.62,-0.036,1.6805,10.0206,185.9817
14.663,-0.5507,0.7719,8.8906,185.942
14.706,-0.0623,0.487,9.8147,185.8977
14.749,0.1304,0.815,8.7433,185.8461
14.792,0.2657,2.5149,7.6564,185.7837
14.835,0.3064,-0.2372,9.1779,185.7453
14.878,-0.042,-1.4894,11.42,185.7129
14.921,0.0322,1.9475,9.2222,185.6623
14.964,0.1268,1.9319,7.4612,185.615
15.007,0.0502,-2.8409,13.8956,185.5829
15.05,0.5542,0.8856,14.092,185.5492
15.093,-1.6521,3.542,9.1024,185.518
15.136,-1.2307,0.3218,10.7389,185.5038
15.179,-0.1353,-0.4132,10.8909,185.4958
15.222,-0.0779,3.2511,6.5454,185.4885
15.265,0.3028,1.2196,6.5478,185.4809
15.308,-0.297,-2.1586,8.6487,185.4826
15.351,0.5195,2.5364,7.2781,185.4754
15.394,0.7266,0.1434,8.6751,185.4881
15.437,-0.0575,-0.8789,12.4567,185.5054
15.48,-0.1186,0.2644,13.1307,185.5133
15.523,-0.4897,1.5692,10.3486,185.5077
15.566,-0.3472,0.2057,8.8678,185.5046
