time,ax,ay,az,yaw ,acc,velo,dis
29.197,0.2054,-0.01331,9.798,188.3759,0.728806243864775,98.8190594664849,68724.9054601625
29.24,0.5753,0.89529,10.1967,188.1337,0.76210299509182,98.405631525556,68823.3110916881
29.283,0.3586,0.70961,8.6392,187.8984,0.751604396073456,97.9817049856087,68921.2927966737
29.326,-0.04,0.67804,7.6097,187.6867,0.736891516858765,97.5430655664468,69018.8358622402
29.369,0.027,0.67672,8.9397,187.513,0.724857213487012,97.0923918439131,69115.9282540841
29.412,-0.1059,1.86439,8.1987,187.3663,0.95276377078961,96.869624678682,69212.7978787628
29.455,-0.4662,-1.13135,9.6508,187.2852,0.535941016631688,96.230034759293,69309.0279135221
29.498,0.2712,2.45432,9.1983,187.2116,0.91961681330535,95.9741206365776,69405.0020341586
29.541,0.1072,0.11308,11.5566,187.2082,0.75830945064428,95.5568991512012,69500.5589333098
29.584,0.0509,-2.38227,16.6167,187.2612,0.130193560515424,94.5115617756959,69595.0704950855
29.627,1.3426,1.83414,14.2524,187.3041,0.470982848412339,93.8070136880875,69688.8775087736
29.67,-0.1179,0.47916,7.9521,187.3956,0.472618278729872,93.1041010307967,69781.9816098044
29.713,0.5872,-1.79762,10.0099,187.5543,0.018570622983897,91.9471407177599,69873.9287505222
29.756,-0.0867,2.29108,8.6189,187.7115,0.473072498387118,91.2446822801263,69965.1734328023
29.799,0.0904,0.2079,9.0283,187.9292,0.420037998709694,90.4891893428153,70055.6626221451
29.842,-0.1095,-0.1727,9.306,188.1617,0.301490398967755,89.6151488057623,70145.2777709509
29.885,0.1144,-0.01727,9.3156,188.4228,0.237738319174204,88.6773561889158,70233.9551271398
29.928,-0.1837,1.98429,6.2402,188.6828,0.587048655339364,88.0888739082345,70322.044001048
29.971,-0.0364,0.96767,7.3631,188.9768,0.663172924271491,87.5765158964853,70409.6205169445
30.014,-0.6063,0.02354,9.9058,189.2743,0.535246339417193,86.9362312998818,70496.5567482444
30.057,-0.5069,0.76626,9.6125,189.5726,0.581449071533754,86.3421494353948,70582.8988976798
30.1,-0.55,0.78727,8.0024,189.8685,0.622613257227004,85.7892317566011,70668.6881294364
30.143,-0.6015,0.40931,9.956,190.1539,0.579952605781603,85.193653426362,70753.8817828627
30.186,-0.3824,1.24289,9.7789,190.5834,0.712540084625282,84.7306625749666,70838.6124454377
30.229,-0.544,1.12442,9.2617,190.8249,0.794916067700226,84.3500477066461,70922.9624931443
30.272,-0.7368,0.46992,12.0773,191.0474,0.729916854160181,83.9044336247856,71006.8669267691
30.315,-0.969,1.71039,11.5003,191.2598,0.926011483328145,83.654914172093,71090.5218409412
30.358,-1.0719,0.47256,11.1292,191.4441,0.835321186662516,83.3147044227348,71173.836545364
30.401,-0.8756,0.67804,10.1548,191.6176,0.803864949330013,82.9430384360441,71256.7795838
30.444,-0.5368,1.36015,8.9265,191.7783,0.91512195946401,82.6826294594874,71339.4622132595
30.487,-0.1131,1.57344,8.6165,191.9017,1.04678556757121,82.5538840910379,71422.0160973505
30.53,-0.2926,-0.37807,12.5585,191.9635,0.761814454056966,82.1401676090742,71504.1562649596
30.573,-0.6039,0.26587,13.9639,192.0121,0.662625563245573,81.6272622362991,71585.7835271959
30.616,-0.3561,0.55286,9.2126,192.0164,0.640672450596459,81.0924037508748,71666.8759309468
30.659,0.2257,1.66166,6.6149,191.98,0.844869960477167,80.7617427753313,71747.6376737221
30.702,-0.6745,-1.2551,10.3547,191.8346,0.424875968381734,80.0110878076923,71827.6487615298
30.745,-0.2591,2.9073,8.3483,191.6968,0.921360774705387,79.756917646377,71907.4056791762
30.788,-0.2412,1.51415,7.5379,191.5189,1.03991861976431,79.6213053301206,71987.0269845063
30.831,-0.3968,0.33165,10.5929,191.2834,0.898264895811448,79.3440392899113,72066.3710237962
30.874,-0.1095,0.95447,11.2046,191.0454,0.909505916649158,79.0780142705398,72145.4490380668
30.917,-0.4746,1.48654,9.0331,190.8223,1.02491273331933,78.9273960678384,72224.3764341346
30.96,-0.9283,0.57926,8.2813,190.6035,0.935782186655461,78.6876473184731,72303.0640814531
31.003,-0.6278,1.0296,8.9565,190.4227,0.954545749324369,78.4666621317768,72381.5307435848
31.046,-0.3573,1.9448,6.749,190.3058,1.1525965994595,78.4437277952156,72459.9744713801
31.089,-0.4662,0.77407,8.2262,190.2006,1.0768912795676,78.3450881387625,72538.3195595188
31.132,-0.7643,1.9382,11.802,190.1588,1.24915302365408,78.4187102263958,72616.7382697452
31.175,-1.2515,1.71567,13.752,190.1362,1.34245641892326,78.5856357092984,72695.3239054545
31.218,-1.7519,-0.92719,14.8211,190.1302,0.88852713513861,78.2986319084163,72773.6225373629
31.261,-1.5831,1.44045,10.8814,190.2102,0.998911708110888,78.1220126805065,72851.7445500434
31.304,-1.139,-0.44924,6.415,190.276,0.70928136648871,77.6557631109745,72929.4003131544
31.347,-0.7308,1.89079,4.6445,190.399,0.945583093190968,77.4258152681447,73006.8261284226
31.39,-0.8349,-1.26038,8.2681,190.4864,0.504390474552775,76.7546748066768,73083.5808032292
31.433,-0.2783,6.37582,7.569,190.6614,1.67867637964222,77.2578202502983,73160.8386234795
31.476,-0.3154,-1.73833,12.616,190.7839,0.995275103713776,77.0775644179914,73237.9161878975
31.519,-0.9714,-3.08682,19.7968,190.8745,0.178856082971021,76.0808895649417,73313.9970774625
31.562,-1.3856,3.6553,13.1032,191.1117,0.874144866376817,75.7795034952978,73389.7765809578
31.605,-0.8253,1.04533,4.7115,191.2924,0.908381893101453,75.5123544523786,73465.2889354102
31.648,0.677,-0.76527,6.9789,191.3339,0.573651514481163,74.910475030839,73540.199410441
31.691,-0.9678,2.97451,6.9094,191.3971,1.05382321158493,74.7887673064032,73614.9881777474
31.734,-0.5021,-0.36102,7.6085,191.4218,0.770854569267944,74.3840909396505,73689.372268687
31.777,-0.9905,1.07965,9.4964,191.4725,0.832613655414355,74.0411736590441,73763.4134423461
31.82,-0.878,-0.75735,9.5706,191.4634,0.514620924331484,73.3802636473549,73836.7937059934
31.863,-0.8792,0.69113,8.7158,191.5055,0.549922739465188,72.7546554507994,73909.5483614442
31.906,-1.0612,-0.5401,9.312,191.5151,0.33191819157215,71.9110427063508,73981.4594041506
31.949,-0.8936,2.16997,9.8459,191.6229,0.69952855325772,71.4350403235878,74052.8944444742
31.992,-1.1091,0.65824,10.5342,191.6976,0.691270842606176,70.9507802301733,74123.8452247043
32.035,-0.7248,0.6424,13.1427,191.7912,0.681496674084941,70.4567459682375,74194.3019706726
32.078,-0.9043,0.33297,11.6643,191.9034,0.611791339267953,69.8930063714848,74264.1949770441
